name,kind,method_classes
BetaDistribution,none,
BinomialDistribution,none,
BirnbaumSaundersDistribution,none,
BurrDistribution,none,
ExhaustiveSearcher,none,
ExponentialDistribution,none,
ExtremeValueDistribution,none,
GammaDistribution,none,
GeneralizedExtremeValueDistribution,none,
GeneralizedParetoDistribution,none,
HalfNormalDistribution,none,
InverseGaussianDistribution,none,
KDTreeSearcher,mfile,KDTreeSearcher
KernelDistribution,none,
LogisticDistribution,none,
LoglogisticDistribution,none,
LognormalDistribution,none,
LoguniformDistribution,none,
MException,other,
MultinomialDistribution,none,
NaT,mfile,
NakagamiDistribution,none,
NegativeBinomialDistribution,none,
NormalDistribution,none,
PiecewiseLinearDistribution,none,
PoissonDistribution,none,
RayleighDistribution,none,
RicianDistribution,none,
StableDistribution,none,
TriangularDistribution,none,
UniformDistribution,none,
VideoWriter,mfile,
WeibullDistribution,none,
abcd2s,mfile,
abs,builtin,cgslparser;char;codistributed;dlarray;double;duration;gpuArray;int16;int32;int64;int8;logical;single;sym;tabular;uint16;uint32;uint64;uint8
ac2poly,mfile,
ac2rc,mfile,
accumarray,builtin,double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8
acos,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular
acosd,builtin,codistributed;double;gpuArray;single;sym;tabular
acosh,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular
acot,builtin,codistributed;dlarray;double;gpuArray;single;sym;tabular
acotd,builtin,codistributed;double;gpuArray;single;sym;tabular
acoth,builtin,codistributed;double;gpuArray;single;sym;tabular
acsc,builtin,codistributed;dlarray;double;gpuArray;single;sym;tabular
acscd,builtin,codistributed;double;gpuArray;single;sym;tabular
acsch,builtin,codistributed;double;gpuArray;single;sym;tabular
activecontour,mfile,
adapthisteq,mfile,
adaptthresh,mfile,
addCause,other,
addToolbarExplorationButtons,mfile,
addedvarplot,none,
addpath,mfile,
addpoints,mfile,
addtodate,mfile,
adtest,none,
affine2d,mfile,
affineOutputView,mfile,
airy,builtin,double;single;sym
alignsignals,mfile,
alim,mfile,
all,builtin,codistributed;dlarray;double;gpuArray;half;int16;int32;int64;int8;logical;single;tall;uint16;uint32;uint64;uint8
alpha,mfile,
alphamap,mfile,
amd,builtin,double;logical;single
ancestor,builtin,
and,builtin,char;codistributed;conbase;conboolean;conrange;conswitch;dlarray;double;gpuArray;half;int16;int32;int64;int8;logical;mtree;single;tabular;uint16;uint32;uint64;uint8
andrewsplot,none,
angle,mfile,codistributed;dlarray;gpuArray;sym
animatedline,builtin,
annotation,mfile,
anova1,none,
anova2,none,
anovan,none,
ansaribradley,none,
any,builtin,codistributed;dlarray;double;gpuArray;half;int16;int32;int64;int8;logical;single;tall;uint16;uint32;uint64;uint8
anymissing,mfile,codistributed;gpuArray;tall
append,mfile,InputOutputModel;cgoppoint;designdev;double;esbacktest;sweepset;timeseries;varbacktest;xreglistctrl
applylut,mfile,gpuArray
arburg,mfile,
arcov,mfile,
area,mfile,alphaShape;polyshape
argnames,mfile,fittype;inline
armcov,mfile,
array2table,mfile,tall
arrayfun,builtin,codistributed;gpuArray;tall
aryule,mfile,
asec,builtin,codistributed;dlarray;double;gpuArray;single;sym;tabular
asecd,builtin,codistributed;double;gpuArray;single;sym;tabular
asech,builtin,codistributed;double;gpuArray;single;sym;tabular
asin,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular
asind,builtin,codistributed;double;gpuArray;single;sym;tabular
asinh,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular
assert,builtin,cgslparser;gpuArray
assignin,builtin,
atan,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular
atan2,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular
atan2d,builtin,codistributed;double;gpuArray;single;sym;tabular
atand,builtin,codistributed;double;gpuArray;single;sym;tabular
atanh,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular
audioread,mfile,
axes,builtin,
axis,mfile,vrjoystick
axtoolbar,mfile,
axtoolbarbtn,mfile,
balance,builtin,double;single
bandpass,mfile,
bandpower,mfile,
bandstop,mfile,
bandwidth,builtin,DynamicSystem;codistributed;gpuArray
bar,mfile,half
bar3,mfile,
bar3h,mfile,
barh,mfile,half
barthannwin,mfile,
bartlett,mfile,
barttest,none,
base2dec,mfile,
bbdesign,none,
beep,builtin,
besselap,mfile,
besself,mfile,
besselh,builtin,codistributed;double;single;sym
besseli,builtin,codistributed;double;gpuArray;single;sym
besselj,builtin,codistributed;double;gpuArray;single;sym
besselk,builtin,codistributed;double;gpuArray;single;sym
bessely,builtin,codistributed;double;gpuArray;single;sym
bestblk,mfile,
beta,mfile,codistributed;gpuArray;sym
betacdf,none,
betafit,none,
betainc,builtin,codistributed;double;gpuArray;single;tall
betaincinv,builtin,codistributed;double;gpuArray;single;tall
betainv,none,
betalike,none,
betaln,mfile,codistributed;gpuArray
betapdf,none,
betarnd,none,
betastat,none,
between,mfile,codistributed;datetime;tall
bfscore,mfile,
bicg,mfile,codistributed;gpuArray
bicgstab,mfile,codistributed;gpuArray
bicgstabl,mfile,codistributed;gpuArray
bilinear,mfile,
bin2dec,builtin,
binocdf,none,
binofit,mfile,
binoinv,none,
binopdf,none,
binornd,none,
binostat,none,
binscatter,mfile,
biplot,none,
bitand,builtin,codistributed;double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8
bitcmp,builtin,double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8
bitget,builtin,double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8
bitor,builtin,codistributed;double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8
bitrevorder,mfile,gpuArray
bitset,builtin,double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8
bitshift,builtin,double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8
bitxor,builtin,codistributed;double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8
blackman,mfile,
blackmanharris,mfile,
blanks,mfile,
blkdiag,mfile,InputOutputModel;distributed;symfun
blockproc,mfile,
bohmanwin,mfile,
bootci,none,
bootstrp,none,
boundary,mfile,polyshape
boundarymask,mfile,
bounds,mfile,distributed;tall
box,mfile,
boxcar,mfile,
boxchart,mfile,
boxplot,none,
brighten,mfile,
bsxfun,builtin,char;codistributed;double;gpuArray;int16;int32;int64;int8;logical;single;tall;uint16;uint32;uint64;uint8
bubblechart,mfile,
bubblechart3,mfile,
bubblelegend,mfile,
bubblelim,mfile,
bubblesize,mfile,
buffer,other,gpuArray
buttap,mfile,
butter,mfile,
buttord,mfile,
bvp4c,mfile,
bvp5c,mfile,
bvpget,mfile,
bvpinit,mfile,
bvpset,mfile,
bvpxtend,mfile,
bwarea,mfile,
bwareafilt,mfile,
bwareaopen,mfile,
bwboundaries,mfile,
bwconncomp,mfile,
bwconvhull,mfile,
bwdist,mfile,gpuArray
bwdistgeodesic,mfile,
bweuler,mfile,
bwferet,mfile,
bwhitmiss,mfile,
bwlabel,mfile,gpuArray
bwlabeln,mfile,
bwlookup,mfile,gpuArray
bwmorph,mfile,gpuArray
bwmorph3,mfile,
bwperim,mfile,
bwpropfilt,mfile,
bwselect,mfile,
bwselect3,mfile,
bwskel,mfile,
bwtraceboundary,mfile,
bwulterode,mfile,
caldays,mfile,codistributed;tall
caldiff,mfile,datetime;tall
calendar,mfile,
calendarDuration,mfile,calendarDuration;codistributed;tall
calmonths,mfile,codistributed;tall
calquarters,mfile,codistributed;tall
calweeks,mfile,codistributed;tall
calyears,mfile,codistributed;tall
camdolly,mfile,
camlight,mfile,
camlookat,mfile,
camorbit,mfile,
campan,mfile,
campos,mfile,
camproj,mfile,
camroll,mfile,
camtarget,mfile,
camup,mfile,
camva,mfile,
camzoom,mfile,
canoncorr,none,
capability,none,
capaplot,none,
cart2pol,mfile,distributed
cart2sph,mfile,distributed
cascadesparams,mfile,sparameters
caseread,none,
casewrite,none,
cast,builtin,codistributed;dlarray;gpuArray;half;tall
cat,builtin,InputOutputModel;calendarDuration;categorical;codistributed;coninputfactor;dataset;dlarray;fittype;gpuArray;half;inline;network;string;sym;symfun;tabular;tall;tokenizedDocument
categorical,mfile,categorical;codistributed;dlarray;tall
caxis,mfile,
ccdesign,none,
cceps,mfile,
cconv,mfile,gpuArray
cd,builtin,
cdf,none,
cdf2rdf,mfile,gpuArray;symfun
cdfplot,none,
ceil,builtin,char;codistributed;dlarray;double;duration;gpuArray;int16;int32;int64;int8;logical;single;sym;tabular;tall;uint16;uint32;uint64;uint8
cell,builtin,codistributed;codistributor1d;codistributor2dbc;distributed;half;sweepset
cell2mat,mfile,codistributed;tall
cell2sos,mfile,
cell2struct,builtin,codistributed
cellfun,builtin,codistributed;tall
cellstr,mfile,categorical;codistributed;dataset;tall
cgs,mfile,codistributed;gpuArray
char,builtin,categorical;cgconconstraint;cgconstraint;cgexpr;cgexprconstraint;cgfeature;cgfuncmodel;cgoppoint;cgoptimitem;cgpointconstraint;cgpointobjective;cgprec;cgprecfloat;cgpreclookupfix;cgprecpolyfix;cgrangeconstraint;cgsumconstraint;cgsumobjective;cgtabgradconstraint;codistributed;coninputfactor;des_constraints;fittype;inline;junit;localavfit;localbspline;localmulti;localpoly;localpspline;localsurface;localtruncps;localusermod;mbcinputfactor;opaque;string;sweepset;sweepsetfilter;sym;tall;xreg3xspline;xregclickinput;xregclicktolinput;xregcovariance;xregcubic;xregdesign;xreggpr;xreghybridrbf;xreginterprbf;xreglistctrl;xregmodel;xregmodswitch;xregmulti;xregnnet;xregrangeinput;xregrbf;xregtwostage;xregunispline;xregusermod;xregvectorinput
cheb1ap,mfile,
cheb1ord,mfile,
cheb2ap,mfile,
cheb2ord,mfile,
chebwin,mfile,
cheby1,mfile,
cheby2,mfile,
checkerboard,mfile,
chi2cdf,none,
chi2gof,none,
chi2inv,none,
chi2pdf,none,
chi2rnd,none,
chi2stat,none,
chirp,mfile,
chol,builtin,codistributed;double;gpuArray;half;single;sym
cholcov,none,
cholupdate,builtin,double;single
chromadapt,mfile,
circshift,mfile,codistributed;gpuArray;half;symfun
cla,mfile,
clabel,mfile,
class,builtin,Bluetooth;LegacyIcdevice;gpib;i2c;icgroup;scribehandle;serial;tcpip;udp;visa
clc,builtin,
clear,builtin,cgexprgroup;cgoptimexprgroup;cgrules;mbcstore;xregdesign;xregtable
clearpoints,mfile,
clearvars,mfile,
clf,mfile,
clim,mfile,
clip,mfile,
clock,builtin,
close,mfile,LegacyIcdevice;UpgradeAdvisor;bloomberg;blp;cgproject;fred;haver;instrument;mdevproject;moneynet;moneynetws;roadrunner;serial;tlkrs;vrfigure;vrjoystick;vrspacemouse;vrworld
closereq,mfile,
cluster,mfile,phytree
clusterdata,none,
cmap2gray,mfile,
cmdscale,none,
cmpermute,mfile,
cmunique,mfile,
cohere,mfile,
col2im,mfile,
colfilt,mfile,
colnames,none,
colon,builtin,char;codistributor1d;codistributor2dbc;datetime;distributed;dlarray;double;duration;gpuArray;half;int16;int32;int64;int8;single;sym;uint16;uint32;uint64;uint8
colorangle,mfile,
colorbar,mfile,
colorcube,mfile,
colordef,mfile,
colororder,mfile,
colperm,mfile,
column,none,
combnk,none,
comet,mfile,
comet3,mfile,
compan,mfile,distributed;symfun
compass,mfile,
complex,builtin,codistributed;dlarray;double;gpuArray;int16;int32;int64;int8;logical;single;uint16;uint32;uint64;uint8
compose,mfile,codistributed;dlarray;sym;tall
computer,builtin,
concat,mfile,sweepset
cond,mfile,codistributed;gpuArray;sym;xreginterprbf
condeig,mfile,
condest,mfile,codistributed;gpuArray;symfun;xreginterprbf
coneplot,mfile,
confusionmat,mfile,
conj,builtin,char;codistributed;dlarray;double;gpuArray;int16;int32;int64;int8;logical;single;sym;uint16;uint32;uint64;uint8
conndef,mfile,
containers,none,
contains,builtin,SimData;codistributed;string;tall;tokenizedDocument
contour,mfile,propagationData;sweepset;xregmodel
contour3,mfile,
contourc,builtin,
contourf,mfile,
contourslice,mfile,
contrast,mfile,
conv,mfile,codistributed;gpuArray;half;tall
conv2,builtin,codistributed;double;gpuArray;half;int16;int32;int64;int8;logical;single;tall;uint16;uint32;uint64;uint8
convertCharsToStrings,builtin,tall
convertContainedStringsToChars,builtin,
convertStringsToChars,builtin,string
convhull,builtin,polyshape
convhulln,mfile,
convmtx,mfile,
convmtx2,mfile,
convn,mfile,codistributed;gpuArray;tall
cophenet,none,
copulacdf,none,
copulafit,none,
copulaparam,none,
copulapdf,none,
copularnd,none,
copulastat,none,
copyfile,builtin,
copygraphics,mfile,
copyobj,builtin,arrowline;axestext;axisobj;mbcrichtext;mvgraph1d;mvgraph2d;mvgraph3d;mvgraph4d;scribehandle;scribehgobj;term_selector;xregaxesinput;xregborderlayout;xregcardlayout;xregcontainer;xregcurtainfxlayout;xregflowlayout;xreggridlayout;xreglegend;xreglistctrl;xregmultigraph2d;xregslidefxlayout;xregsnapsplitlayout;xregsplitlayout;xregtable
corr,mfile,ssm
corr2,mfile,gpuArray
corrcoef,mfile,codistributed;gpuArray;tall
corrcov,none,
corrmtx,mfile,
cos,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular
cosd,builtin,codistributed;double;gpuArray;single;sym;tabular
cosh,builtin,codistributed;dlarray;double;gpuArray;half;single;sym;tabular
cot,mfile,codistributed;dlarray;gpuArray;sym;tabular
cotd,mfile,codistributed;gpuArray;sym;tabular
coth,mfile,codistributed;gpuArray;sym;tabular
count,builtin,codistributed;designdev;mtree;string;tall
cov,mfile,codistributed;gpuArray;localsurface;symfun;tall;xregcovariance;xreglinear;xregmodel;xregmultilin;xregtwostage
coxphfit,none,
cplxpair,mfile,
cpsd,mfile,gpuArray
cputime,builtin,
createns,none,
cross,mfile,distributed
crosstab,none,
csc,mfile,codistributed;dlarray;gpuArray;sym;tabular
cscd,mfile,codistributed;gpuArray;sym;tabular
csch,mfile,codistributed;gpuArray;sym;tabular
csd,mfile,
csvwrite,mfile,
ctranspose,builtin,categorical;cell;char;codistributed;dlarray;double;gpuArray;half;icgroup;imaqchild;imaqdevice;instrument;int16;int32;int64;int8;laurmat;logical;opaque;quaternion;se2;se3;serial;single;so2;so3;string;struct;sym;tokenizedDocument;uint16;uint32;uint64;uint8
cummax,builtin,codistributed;double;gpuArray;int16;int32;int64;int8;logical;single;tabular;tall;uint16;uint32;uint64;uint8
cummin,builtin,codistributed;double;gpuArray;int16;int32;int64;int8;logical;single;tabular;tall;uint16;uint32;uint64;uint8
cumprod,builtin,codistributed;double;gpuArray;int16;int32;int64;int8;logical;single;sym;tabular;tall;uint16;uint32;uint64;uint8
cumsum,builtin,codistributed;double;gpuArray;half;int16;int32;int64;int8;logical;single;sym;tabular;tall;uint16;uint32;uint64;uint8
cumtrapz,mfile,distributed
curl,mfile,sym
