name,kind,method_classes
Inf,builtin,codistributed;distributed;gpuArray
NaN,builtin,codistributed;distributed;gpuArray
autumn,mfile,
bone,mfile,
colormap,mfile,
cool,mfile,
copper,mfile,
diff,builtin,char;codistributed;datetime;double;duration;gpuArray;int16;int32;int64;int8;localpoly;localpspline;localtruncps;logical;single;sym;tabular;tall;uint16;uint32;uint64;uint8;umat
e,none,
flag,mfile,
gray,mfile,
hot,mfile,
hsv,mfile,
i,builtin,
inf,builtin,codistributor1d;codistributor2dbc;half
j,other,
jet,mfile,
lines,mfile,
nan,builtin,codistributor1d;codistributor2dbc;half;quaternion
newline,builtin,
parula,mfile,
pi,builtin,
pink,mfile,
prism,mfile,
spring,mfile,
summer,mfile,
turbo,mfile,
viridis,none,
winter,mfile,
