name,kind,form_index,syntax,verdict,detail
Inf,builtin,0,X = Inf,accepted,
Inf,builtin,1,X = Inf(n),error,Index 2 is out of range for length 1 (indexing is 1-based).
Inf,builtin,2,"X = Inf(sz1,...,szN)",unprobed,no sample for this form's arguments
Inf,builtin,3,X = Inf(sz),error,Index 2 is out of range for length 1 (indexing is 1-based).
Inf,builtin,4,"X = Inf(___,typename)",error,"An index must be a number, but got a string."
Inf,builtin,5,"X = Inf(___,'like',p)",error,"An index must be a number, but got a string."
NaN,builtin,0,X = NaN,accepted,
NaN,builtin,1,X = NaN(n),error,Index 2 is out of range for length 1 (indexing is 1-based).
NaN,builtin,2,"X = NaN(sz1,...,szN)",unprobed,no sample for this form's arguments
NaN,builtin,3,X = NaN(sz),error,Index 2 is out of range for length 1 (indexing is 1-based).
NaN,builtin,4,"X = NaN(___,typename)",error,"An index must be a number, but got a string."
NaN,builtin,5,"X = NaN(___,'like',p)",error,"An index must be a number, but got a string."
abs,builtin,0,Y = abs(X),accepted,
accumarray,builtin,0,"B = accumarray(ind,data)",accepted,
accumarray,builtin,1,"B = accumarray(ind,data,sz)",accepted,
accumarray,builtin,2,"B = accumarray(ind,data,sz,fun)",error,accumarray: the function must return one number per bin.
accumarray,builtin,3,"B = accumarray(ind,data,sz,fun,fillval)",error,accumarray: the function must return one number per bin.
accumarray,builtin,4,"B = accumarray(ind,data,sz,fun,fillval,issparse)",unprobed,no sample for this form's arguments
acos,builtin,0,Y = acos(X),accepted,
acosd,builtin,0,Y = acosd(X),accepted,
acosh,builtin,0,Y = acosh(X),accepted,
acot,builtin,0,Y = acot(X),accepted,
acotd,builtin,0,Y = acotd(X),accepted,
acoth,builtin,0,Y = acoth(X),accepted,
acsc,builtin,0,Y = acsc(X),accepted,
acscd,builtin,0,Y = acscd(X),accepted,
acsch,builtin,0,Y = acsch(X),accepted,
addToolbarExplorationButtons,function,0,addToolbarExplorationButtons(fig),accepted,
