name,argument,role,value_types
&,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
&,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
',A,Input array,"vector, matrix"
*,A,Operands,"scalars, vectors, matrices"
*,B,Operands,"scalars, vectors, matrices"
+,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
+,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
-,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
-,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
.',A,Input array,"vector, matrix"
.*,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
.*,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
./,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
./,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
.\,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
.\,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
.^,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
.^,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
/,A,Operands,"vectors, full matrices, sparse matrices"
/,B,Operands,"vectors, full matrices, sparse matrices"
:,i,Increment between vector elements,"1, scalar"
:,j,Starting vector value,scalar
:,k,Ending vector value,scalar
<,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
<,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
<=,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
<=,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
==,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
==,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
>,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
>,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
>=,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
>=,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
BeginInvoke,"arg1,...,argN",Input arguments,any valid type
BeginInvoke,callback,Method,"[], System.AsyncCallback"
BeginInvoke,object,Delegate,"[], user-defined .NET object"
Combine,delegateA,First delegate,System.Delegate
Combine,delegateB,Last delegate,System.Delegate
EndInvoke,asyncResult,Object,System.IAsyncResult
EndInvoke,"res0,...,resN",Results,any valid type
Inf,n,Size of square matrix,integer
Inf,p,Prototype of array,array
Inf,sz,Size of each dimension in a vector,row vector of integers
Inf,"sz1,...,szN",Size of each dimension in a list,integers
Inf,typename,Data type,"'double', single'"
NET.addAssembly,globalName,Global assembly name,"string, character vector, System.Reflection.AssemblyName"
NET.addAssembly,privateName,Private assembly name,"string, character vector"
NET.convertArray,V,MATLAB array,numeric MATLAB type
NET.convertArray,arrType,.NET array type,"string, character vector"
NET.convertArray,"m,n,p,...",Number of elements in each dimension,array of integers
NET.createArray,"m,n,p,...",Number of elements in each dimension,array of integers
NET.createArray,typeName,.NET array type name,"string, character vector, NET.GenericClass"
NET.createGeneric,className,Generic type name,"string, character vector"
NET.createGeneric,ctorArgs,Constructor arguments,valid argument types
NET.createGeneric,paramTypes,Parameter types,"cell array of strings, cell array of character vectors, NET.GenericClass"
NET.disableAutoRelease,obj,.NET object representing COM wrapper,COM wrapper class
NET.enableAutoRelease,obj,.NET object representing COM wrapper,COM wrapper class
NET.invokeGenericMethod,args,Input arguments,valid argument types
NET.invokeGenericMethod,genericMethodName,Generic method name,"string, character vector"
NET.invokeGenericMethod,obj,Object type,"class, string, character vector, NET.GenericClass"
NET.invokeGenericMethod,paramTypes,Generic method parameterization type,"string, character vector, NET.GenericClass"
NET.setStaticProperty,propName,Static property name,"string, character vector"
NET.setStaticProperty,value,Property value,valid property type
NaN,n,Size of square matrix,integer
NaN,p,Prototype of array,array
NaN,sz,Size of each dimension in a vector,row vector of integers
NaN,"sz1,...,szN",Size of each dimension in a list,integers
NaN,typename,Data type,"'double', single'"
NaT,fmt,Date format,"'default', 'defaultdate', character vector, string scalar"
NaT,n,Size of square matrix,integer
NaT,sz,Size of each dimension (as a row vector),integer values
NaT,"sz1,...,szN",Size of each dimension (as separate arguments),integer values
NaT,tz,Time zone region,"'', character vector, string scalar"
Remove,combinedDelegate,Delegate to modify,System.Delegate
Remove,removedDelegate,Delegate to remove,System.Delegate
RemoveAll,combinedDelegate,Delegate to modify,System.Delegate
RemoveAll,removedDelegate,Delegate to remove,System.Delegate
\,A,Operands,"vectors, full matrices, sparse matrices"
\,B,Operands,"vectors, full matrices, sparse matrices"
^,A,Operands,"scalar, matrix"
^,B,Operands,"scalar, matrix"
abs,X,Input array,"scalar, vector, matrix, multidimensional array"
accumarray,data,Data to be accumulated,"scalar, vector"
accumarray,fillval,Fill value,"scalar, []"
accumarray,fun,Group computation,"function handle, []"
accumarray,ind,Output indices,"vector, matrix, cell array of vectors"
accumarray,issparse,Output sparsity,"false or 0, true or 1"
accumarray,sz,Size of output array,"vector of positive integers, []"
acos,X,Cosine of angle,"scalar, vector, matrix, multidimensional array"
acosd,X,Cosine of angle,"scalar value, vector, matrix, N-D array"
acosh,X,Hyperbolic cosine of angle,"scalar, vector, matrix, multidimensional array"
acot,X,Cotangent of angle,"scalar, vector, matrix, multidimensional array"
acotd,X,Cotangent of angle,"scalar value, vector, matrix, N-D array"
acoth,X,Hyperbolic cotangent of angle,"scalar, vector, matrix, multidimensional array"
acsc,X,Cosecant of angle,"scalar, vector, matrix, multidimensional array"
acscd,X,Cosecant of angle,"scalar value, vector, matrix, N-D array"
acsch,X,Hyperbolic cosecant of angle,"scalar, vector, matrix, multidimensional array"
actxGetRunningServer,progid,Programmatic identifier,"string, character vector"
actxcontrol,progid,Programmatic identifier,"string, character vector"
actxcontrolselect,varargin,,
actxserver,machineName,Remote computer,"string, character vector"
actxserver,progid,Programmatic identifier,"string, character vector"
addToolbarExplorationButtons,fig,Target figure,"single Figure object, vector of Figure objects"
addpath,"folderName1,...,folderNameN",Folder names to add to search path,"character vectors, string scalars"
addpath,position,Position on search path,"'-begin', '-end'"
addpoints,an,AnimatedLine object,AnimatedLine object
addpoints,x,First coordinate values,"scalar, vector"
addpoints,y,Second coordinate values,"scalar, vector"
addpoints,z,Third coordinate values,"scalar, vector"
addpref,group,Custom preference group name,"character vector, string scalar"
addpref,pref,Custom preference name,"character vector, cell array of character vectors, string array"
addpref,value,Custom preference value,any MATLAB data type
addprop,T,Input table,"table, timetable"
addprop,propertyNames,Names of custom properties,"character vector, cell array of character vectors, string array"
addprop,propertyTypes,Property types,"character vector, cell array of character vectors, string array"
addtodate,D,required,"numeric, scalar"
addtodate,F,required,"choices={'year', 'month', 'day', 'hour', 'minute', 'second', 'millisecond'}"
addtodate,Q,required,"numeric, scalar, integer"
airy,Z,System variable,"vector, matrix, N-D Array"
airy,k,Type of Airy function,"0, 1, 2, 3"
airy,scale,Scaling option,"0, 1"
align,components,Objects to align,vector
align,cpositions,Current object positions,matrix whose rows are position vectors
align,distance,Fixed distance between objects,"0, scalar"
align,halign,Horizontal alignment of objects,"'top', 'middle', 'bottom'"
align,spacing,Spacing adjustment between objects,"'none', 'distribute'"
align,valign,Vertical alignment of objects,"'left', 'center', 'right'"
alim,arg1,,
alim,arg2,,
all,A,Input Array,"scalar, vector, matrix, multidimensional array"
all,dim,Dimension to operate along,positive integer scalar
all,vecdim,Vector of dimensions,vector of positive integers
allchild,HandleList,,
alpha,alphadata,Option to vary transparency across object,"'x', 'y', 'z', 'color', 'rand', vector or matrix"
alpha,alphadatamapping,Interpretation of alpha data values,"'none', 'direct', 'scaled'"
alpha,ax,Axes object,axes object
alpha,facealpha,Option for flat or interpolated face transparency,"'flat', 'interp', 'texture'"
alpha,obj,Graphics objects that support transparency,"scalar, vector"
alpha,value,Face transparency value,"number in the range [0, 1], 'clear', 'opaque'"
alphamap,param1,,
alphamap,param2,,
alphamap,param3,,
alphanumericBoundary,type,Boundary type,"'either', 'start', 'end'"
alphanumericsPattern,N,Exact number of characters to match,nonnegative integer scalar
alphanumericsPattern,maxCharacters,Maximum number of characters to match,nonnegative integer scalar
alphanumericsPattern,minCharacters,Minimum number of characters to match,nonnegative integer scalar
and,A,Operands,"scalars, vectors, matrices, multidimensional arrays"
and,B,Operands,"scalars, vectors, matrices, multidimensional arrays"
angle,z,Input array,"scalar, vector, matrix, multidimensional array"
animatedline,ax,Target axes,"Axes object, PolarAxes object, GeographicAxes object, Group object, Transform object"
animatedline,x,"Starting coordinate (x, theta, or latitude)","[], scalar or vector"
animatedline,y,"Starting coordinate (y, rho, or longitude)","[], scalar or vector"
animatedline,z,Starting z-coordinate (Cartesian axes),"[], scalar or vector"
annotation,container,Target for annotation,"figure object, uipanel object, uitab object"
annotation,dim,Size and location,four-element vector of the form [x y w h]
annotation,lineType,Type of line annotation,"'line', 'arrow', 'doublearrow', 'textarrow'"
annotation,shapeType,Type of shape annotation,"'rectangle', 'ellipse', 'textbox'"
annotation,x,Beginning and ending x-coordinates,two-element vector of the form [x_begin x_end]
annotation,y,Beginning and ending y-coordinates,two-element vector of the form [y_begin y_end]
any,A,Input array,"scalar, vector, matrix, multidimensional array"
any,dim,Dimension to operate along,positive integer scalar
any,vecdim,Vector of dimensions,vector of positive integers
appdesigner,filename,Name or path of app file,"character vector, string scalar"
appdesigner.customcomponent.configureMetadata,classfile,Path to UI component class file,"character vector, string scalar"
appdesigner.customcomponent.removeMetadata,classfile,Path to UI component class file,"character vector, string scalar"
append,"str1,...,strN",Input text,"string arrays, character vectors, cell arrays of character vectors"
area,X,x-coordinates,"vector, matrix"
area,Y,y-coordinates,"vector, matrix"
area,ax,Target axes,Axes object
area,basevalue,Baseline value,"0, numeric scalar"
array2table,A,Input array,matrix
array2timetable,Fs,Sample rate,positive numeric scalar
array2timetable,X,Input matrix,matrix
array2timetable,dt,Time step,"datetime scalar, duration scalar"
array2timetable,rowTimes,Times associated with rows of timetable,"datetime vector, duration vector"
array2timetable,t0,Start time,"datetime scalar, duration scalar"
arrayfun,A,Input array,array
arrayfun,func,Function to apply,function handle
asFewOfPattern,maxPattern,Maximum number instances to match,nonnegative integer scalar
asFewOfPattern,minPattern,Minimum number instances to match,nonnegative integer scalar
