name,kind,folder,graphics,form_index,syntax,name_value
&,operator,,no,0,A & B,no
&,operator,,no,1,"and(A,B)",no
',operator,,no,0,B = A',no
',operator,,no,1,B = ctranspose(A),no
*,operator,,no,0,C = A*B,no
*,operator,,no,1,"C = mtimes(A,B)",no
+,operator,,no,0,C = A + B,no
+,operator,,no,1,"C = plus(A,B)",no
-,operator,,no,0,C = A - B,no
-,operator,,no,1,"C = minus(A,B)",no
.',operator,,no,0,B = A.',no
.',operator,,no,1,B = transpose(A),no
.*,operator,,no,0,C = A.*B,no
.*,operator,,no,1,"C = times(A,B)",no
./,operator,,no,0,x = A./B,no
./,operator,,no,1,"x = rdivide(A,B)",no
.\,operator,,no,0,x = B.\A,no
.\,operator,,no,1,"x = ldivide(B,A)",no
.^,operator,,no,0,C = A.^B,no
.^,operator,,no,1,"C = power(A,B)",no
/,operator,,no,0,x = B/A,no
/,operator,,no,1,"x = mrdivide(B,A)",no
:,operator,,no,0,x = j:k,no
:,operator,,no,1,x = j:i:k,no
:,operator,,no,2,"x = colon(j,k)",no
:,operator,,no,3,"x = colon(j,i,k)",no
:,operator,,no,4,"A(:,n)",no
:,operator,,no,5,"A(m,:)",no
:,operator,,no,6,A(:),no
:,operator,,no,7,A(j:k),no
<,operator,,no,0,A < B,no
<,operator,,no,1,"lt(A,B)",no
<=,operator,,no,0,A <= B,no
<=,operator,,no,1,"le(A,B)",no
==,operator,,no,0,A == B,no
==,operator,,no,1,"eq(A,B)",no
>,operator,,no,0,A > B,no
>,operator,,no,1,"gt(A,B)",no
>=,operator,,no,0,A >= B,no
>=,operator,,no,1,"ge(A,B)",no
BeginInvoke,function,,no,0,"result = BeginInvoke(arg1,...,argN,callback,object)",no
Combine,function,,no,0,"result = Combine(delegateA,delegateB)",no
EndInvoke,function,,no,0,result = EndInvoke(asyncResult),no
EndInvoke,function,,no,1,"[res0,...,resN] = EndInvoke(res0,...,resN,asyncResult)",no
Inf,builtin,,no,0,X = Inf,no
Inf,builtin,,no,1,X = Inf(n),no
Inf,builtin,,no,2,"X = Inf(sz1,...,szN)",no
Inf,builtin,,no,3,X = Inf(sz),no
Inf,builtin,,no,4,"X = Inf(___,typename)",no
Inf,builtin,,no,5,"X = Inf(___,'like',p)",no
Logical Operators: Short-Circuit && ||,function,,no,0,expr1 && expr2,no
Logical Operators: Short-Circuit && ||,function,,no,1,expr1 || expr2,no
NET.addAssembly,builtin,+NET,no,0,asmInfo = NET.addAssembly(globalName),no
NET.addAssembly,builtin,+NET,no,1,asmInfo = NET.addAssembly(privateName),no
NET.convertArray,builtin,+NET,no,0,"arrObj = NET.convertArray(V,arrType,m,n,p,...)",no
NET.createArray,builtin,+NET,no,0,"array = NET.createArray(typeName,[m,n,p,...])",no
NET.createArray,builtin,+NET,no,1,"array = NET.createArray(typeName,m,n,p,...)",no
NET.createGeneric,builtin,+NET,no,0,"genObj = createGeneric(className,paramTypes)",no
NET.createGeneric,builtin,+NET,no,1,"genObj = createGeneric(className,paramTypes,ctorArgs)",no
NET.disableAutoRelease,builtin,+NET,no,0,NET.disableAutoRelease(obj),no
NET.enableAutoRelease,builtin,+NET,no,0,NET.enableAutoRelease(obj),no
NET.invokeGenericMethod,builtin,+NET,no,0,"outargs = NET.invokeGenericMethod(obj,genericMethodName,paramTypes)",no
NET.invokeGenericMethod,builtin,+NET,no,1,"outargs = NET.invokeGenericMethod(obj,genericMethodName,paramTypes,args)",no
NET.isNETSupported,builtin,+NET,no,0,tf = NET.isNETSupported,no
NET.setStaticProperty,builtin,+NET,no,0,"NET.setStaticProperty(propName,value)",no
NaN,builtin,,no,0,X = NaN,no
NaN,builtin,,no,1,X = NaN(n),no
NaN,builtin,,no,2,"X = NaN(sz1,...,szN)",no
NaN,builtin,,no,3,X = NaN(sz),no
NaN,builtin,,no,4,"X = NaN(___,typename)",no
NaN,builtin,,no,5,"X = NaN(___,'like',p)",no
NaT,function,datetime,no,0,NaT,no
NaT,function,datetime,no,1,t = NaT(n),no
