class,property,summary
CodeCompatibilityAnalysis,ChecksPerformed,List of checks performed and frequency of occurrence
CodeCompatibilityAnalysis,Date,Date of code compatibility analysis
CodeCompatibilityAnalysis,Files,List of files analyzed
CodeCompatibilityAnalysis,MATLABVersion,Version of MATLAB
CodeCompatibilityAnalysis,Recommendations,Recommendations to update code
DelaunayTri,Constraints,Constrained edges
DelaunayTri,Triangulation,Triangulation connectivity
DelaunayTri,X,Vertex coordinates
DensityPlot,Annotation,Control for including or excluding object from legend
DensityPlot,BeingDeleted,Deletion status
DensityPlot,BusyAction,Callback queuing
DensityPlot,ButtonDownFcn,Mouse-click callback
DensityPlot,Children,Children
DensityPlot,ContextMenu,Context menu
DensityPlot,CreateFcn,Creation function
DensityPlot,DeleteFcn,Deletion function
DensityPlot,DisplayName,Legend label
DensityPlot,FaceAlpha,Face transparency
DensityPlot,FaceColor,Face color
DensityPlot,FaceColorMode,Control how FaceColor is set
DensityPlot,HandleVisibility,Visibility of object handle
DensityPlot,HitTest,Response to captured mouse clicks
DensityPlot,Interruptible,Callback interruption
DensityPlot,LatitudeData,Latitude coordinates of data points
DensityPlot,LatitudeDataSource,Variable linked to LatitudeData
DensityPlot,LongitudeData,Longitude coordinates of data points
DensityPlot,LongitudeDataSource,Variable linked to LongitudeData
DensityPlot,Parent,Parent
DensityPlot,PickableParts,Ability to capture mouse clicks
DensityPlot,Radius,Radius of influence on density calculation
DensityPlot,RadiusMode,Radius calculation
DensityPlot,Selected,Selection state
DensityPlot,SelectionHighlight,Display of selection handles
DensityPlot,SeriesIndex,Series index
DensityPlot,Tag,Object identifier
DensityPlot,Type,Type of graphics object
DensityPlot,UserData,User data
DensityPlot,Visible,State of visibility
DensityPlot,WeightData,Weights for data
DensityPlot,WeightDataSource,Workspace variable linked to WeightData
MException,Correction,Suggested fix for exception
MException,cause,Cause of exception
MException,identifier,Unique identifier of error
MException,message,Error message
MException,stack,Stack trace information
MemoizedFunction,CacheSize,Maximum number of cached input and output combinations
MemoizedFunction,Enabled,Caching state
MemoizedFunction,Function,Function with memoization semantics applied
NET.Assembly,AssemblyHandle,Instance of assembly
NET.Assembly,Classes,Class names
NET.Assembly,Delegates,Delegate names
NET.Assembly,Enums,Enumeration names
NET.Assembly,GenericTypes,Generic type names
NET.Assembly,Interfaces,Interface names
NET.Assembly,Structures,Structure names
NET.NetException,ExceptionObject,Class causing error
RandStream,Antithetic,Antithetic values
RandStream,FullPrecision,Full precision generation
RandStream,NormalTransform,Normal transformation algorithm
RandStream,NumStreams,Number of streams
RandStream,Seed,Random number seed
RandStream,State,Current internal state
RandStream,StreamIndex,Stream index
RandStream,Substream,Substream Index
RandStream,Type,Random number generator algorithm
Tiff,Compression,Scheme to compress image data
Tiff,ExtraSamples,Extra channel description
Tiff,Group3Options,Group 3 Fax compression options
Tiff,InkSet,Separated image ink set
Tiff,JPEGColorMode,Color mode
Tiff,Orientation,Visual orientation of image data
Tiff,Photometric,Color space of image data
Tiff,PlanarConfiguration,Storage configuration
Tiff,ResolutionUnit,Resolution units
Tiff,SGILogDataFmt,SGIL codec data format
