name,category,kind
addedvarplot,plots,function
adtest,hypothesis-tests,function
andrewsplot,plots,function
anova1,anova,function
anova2,anova,function
anovan,anova,function
ansaribradley,hypothesis-tests,function
aoctool,apps,function
barttest,hypothesis-tests,function
BayesianOptimization,bayesopt,object
bayesopt,bayesopt,function
bbdesign,doe,function
betacdf,dist-continuous,function
BetaDistribution,dist-objects,object
betafit,dist-continuous,function
betainv,dist-continuous,function
betalike,dist-continuous,function
betapdf,dist-continuous,function
betarnd,dist-continuous,function
betastat,dist-continuous,function
binocdf,dist-discrete,function
binofit,dist-discrete,function
binoinv,dist-discrete,function
BinomialDistribution,dist-objects,object
binopdf,dist-discrete,function
binornd,dist-discrete,function
binostat,dist-discrete,function
binScatterPlot,big-data,function
biplot,multivariate,function
BirnbaumSaundersDistribution,dist-objects,object
bootci,random,function
bootstrp,random,function
boxplot,plots,function
BurrDistribution,dist-objects,object
CalinskiHarabaszEvaluation,clustering,class
candexch,doe,function
candgen,doe,function
canoncorr,multivariate,function
capability,spc,function
capaplot,plots,function
caseread,file-io,function
casewrite,file-io,function
ccdesign,doe,function
cdf,dist-objects,function
cdfplot,plots,function
cell2dataset,dataset-legacy,function
chi2cdf,dist-continuous,function
chi2gof,hypothesis-tests,function
chi2inv,dist-continuous,function
chi2pdf,dist-continuous,function
chi2rnd,dist-continuous,function
chi2stat,dist-continuous,function
cholcov,multivariate,function
ClassificationBaggedEnsemble,classification,class
ClassificationDiscriminant,classification,class
ClassificationECOC,classification,class
ClassificationECOCCoderConfigurer,code-generation,object
ClassificationEnsemble,classification,class
ClassificationGAM,classification,object
ClassificationKernel,classification,object
ClassificationKNN,classification,object
ClassificationLinear,classification,class
ClassificationLinearCoderConfigurer,code-generation,object
ClassificationNaiveBayes,classification,class
ClassificationNeuralNetwork,classification,object
ClassificationPartitionedECOC,classification,class
ClassificationPartitionedEnsemble,classification,class
ClassificationPartitionedGAM,classification,object
ClassificationPartitionedKernel,classification,object
ClassificationPartitionedKernelECOC,classification,object
ClassificationPartitionedLinear,classification,class
ClassificationPartitionedLinearECOC,classification,class
ClassificationPartitionedModel,classification,class
ClassificationSVM,classification,object
ClassificationSVMCoderConfigurer,code-generation,object
ClassificationTree,classification,class
ClassificationTreeCoderConfigurer,code-generation,object
classify,classification,function
cluster,clustering,function
ClusterCriterion,clustering,class
clusterdata,clustering,function
cmdscale,multivariate,function
combnk,utilities,function
CompactClassificationDiscriminant,classification,class
CompactClassificationECOC,classification,class
CompactClassificationEnsemble,classification,class
CompactClassificationGAM,classification,object
CompactClassificationNaiveBayes,classification,class
CompactClassificationNeuralNetwork,classification,object
CompactClassificationSVM,classification,object
CompactClassificationTree,classification,class
CompactGeneralizedLinearModel,regression,class
CompactLinearModel,regression,class
CompactRegressionEnsemble,regression-learners,class
CompactRegressionGAM,regression-learners,object
CompactRegressionGP,regression-learners,class
CompactRegressionNeuralNetwork,regression-learners,object
CompactRegressionSVM,regression-learners,object
CompactRegressionTree,regression-learners,class
CompactTreeBagger,classification,class
confusionchart,model-evaluation,function
confusionmat,model-evaluation,function
controlchart,spc,function
controlrules,spc,function
cophenet,clustering,function
copulacdf,dist-multivariate,function
copulafit,dist-multivariate,function
copulaparam,dist-multivariate,function
copulapdf,dist-multivariate,function
copularnd,dist-multivariate,function
copulastat,dist-multivariate,function
cordexch,doe,function
corr,descriptive,function
corrcov,descriptive,function
CoxModel,survival,object
coxphfit,survival,function
createns,nearest-neighbors,function
crosstab,descriptive,function
crossval,random,function
cvpartition,random,function
datasample,random,function
dataset,dataset-legacy,class
dataset2table,dataset-legacy,function
daugment,doe,function
DaviesBouldinEvaluation,clustering,class
dbscan,clustering,function
dcovary,doe,function
dendrogram,clustering,function
designecoc,classification,function
dfittool,apps,function
distributionFitter,apps,function
dummyvar,regression,function
dwtest,hypothesis-tests,function
ecdf,descriptive,function
ecdfhist,descriptive,function
evalclusters,clustering,function
evcdf,dist-continuous,function
evfit,dist-continuous,function
evinv,dist-continuous,function
evlike,dist-continuous,function
evpdf,dist-continuous,function
evrnd,dist-continuous,function
evstat,dist-continuous,function
ExhaustiveSearcher,nearest-neighbors,object
expcdf,dist-continuous,function
expfit,dist-continuous,function
expinv,dist-continuous,function
explike,dist-continuous,function
ExponentialDistribution,dist-objects,object
exppdf,dist-continuous,function
exprnd,dist-continuous,function
expstat,dist-continuous,function
ExtremeValueDistribution,dist-objects,object
factoran,multivariate,function
fcdf,dist-continuous,function
FeatureSelectionNCAClassification,feature-selection,class
FeatureSelectionNCARegression,feature-selection,class
FeatureTransformer,feature-selection,object
ff2n,doe,function
finv,dist-continuous,function
fishertest,hypothesis-tests,function
fitcauto,classification,function
fitcdiscr,classification,function
fitcecoc,classification,function
fitcensemble,classification,function
fitcgam,classification,function
fitckernel,classification,function
fitcknn,classification,function
fitclinear,classification,function
fitcnb,classification,function
fitcnet,classification,function
fitcox,survival,function
fitcsvm,classification,function
fitctree,classification,function
fitdist,dist-objects,function
fitensemble,classification,function
fitglm,regression,function
fitglme,mixed-effects,function
fitgmdist,dist-objects,function
fitlm,regression,function
fitlme,mixed-effects,function
fitlmematrix,mixed-effects,function
fitnlm,regression,function
fitrauto,regression-learners,function
fitrensemble,regression-learners,function
fitrgam,regression-learners,function
fitrgp,regression-learners,function
fitrkernel,regression-learners,function
fitrlinear,regression-learners,function
fitrm,anova,function
fitrnet,regression-learners,function
fitrsvm,regression-learners,function
fitrtree,regression-learners,function
fitsemigraph,semi-supervised,function
fitsemiself,semi-supervised,function
fitSVMPosterior,classification,function
fpdf,dist-continuous,function
fracfact,doe,function
fracfactgen,doe,function
friedman,anova,function
frnd,dist-continuous,function
fscchi2,feature-selection,function
fscmrmr,feature-selection,function
fscnca,feature-selection,function
fsrftest,feature-selection,function
fsrnca,feature-selection,function
fstat,dist-continuous,function
fsulaplacian,feature-selection,function
fsurfht,apps,function
fullfact,doe,function
gagerr,spc,function
gamcdf,dist-continuous,function
gamfit,dist-continuous,function
gaminv,dist-continuous,function
gamlike,dist-continuous,function
GammaDistribution,dist-objects,object
gampdf,dist-continuous,function
gamrnd,dist-continuous,function
gamstat,dist-continuous,function
GapEvaluation,clustering,class
gencfeatures,feature-selection,function
GeneralizedExtremeValueDistribution,dist-objects,object
GeneralizedLinearMixedModel,mixed-effects,class
GeneralizedLinearModel,regression,class
GeneralizedParetoDistribution,dist-objects,object
generateLearnerDataTypeFcn,code-generation,function
genrfeatures,feature-selection,function
geocdf,dist-discrete,function
geoinv,dist-discrete,function
geomean,descriptive,function
geopdf,dist-discrete,function
geornd,dist-discrete,function
geostat,dist-discrete,function
gevcdf,dist-continuous,function
gevfit,dist-continuous,function
gevinv,dist-continuous,function
gevlike,dist-continuous,function
gevpdf,dist-continuous,function
gevrnd,dist-continuous,function
gevstat,dist-continuous,function
gline,apps,function
glmfit,regression,function
glmval,regression,function
glyphplot,plots,function
gmdistribution,dist-objects,object
gname,apps,function
gpcdf,dist-continuous,function
gpfit,dist-continuous,function
gpinv,dist-continuous,function
gplike,dist-continuous,function
gplotmatrix,plots,function
gppdf,dist-continuous,function
gprnd,dist-continuous,function
gpstat,dist-continuous,function
grp2idx,utilities,function
grpstats,descriptive,function
gscatter,plots,function
HalfNormalDistribution,dist-objects,object
haltonset,random,class
HamiltonianSampler,random,class
harmmean,descriptive,function
hist3,plots,function
histfit,plots,function
hmcSampler,random,function
hmmdecode,markov,function
hmmestimate,markov,function
hmmgenerate,markov,function
hmmtrain,markov,function
hmmviterbi,markov,function
hougen,regression,function
hygecdf,dist-discrete,function
hygeinv,dist-discrete,function
hygepdf,dist-discrete,function
hygernd,dist-discrete,function
hygestat,dist-discrete,function
hyperparameters,bayesopt,function
icdf,dist-objects,function
iforest,anomaly,function
inconsistent,clustering,function
incrementalClassificationLinear,incremental-learning,object
incrementalClassificationNaiveBayes,incremental-learning,object
incrementalRegressionLinear,incremental-learning,object
interactionplot,plots,function
InverseGaussianDistribution,dist-objects,object
invpred,regression,function
iqr,dist-objects,function
IsolationForest,anomaly,object
iwishrnd,dist-multivariate,function
jackknife,random,function
jbtest,hypothesis-tests,function
johnsrnd,random,function
KDTreeSearcher,nearest-neighbors,object
KernelDistribution,dist-objects,object
kmeans,clustering,function
kmedoids,clustering,function
knnsearch,nearest-neighbors,function
kruskalwallis,anova,function
ksdensity,descriptive,function
kstest,hypothesis-tests,function
kstest2,hypothesis-tests,function
kurtosis,descriptive,function
lasso,regression,function
lassoglm,regression,function
lassoPlot,regression,function
learnerCoderConfigurer,code-generation,function
leverage,regression,function
lhsdesign,random,function
lhsnorm,random,function
lillietest,hypothesis-tests,function
lime,model-evaluation,object
LinearMixedModel,mixed-effects,class
LinearModel,regression,class
linhyptest,hypothesis-tests,function
linkage,clustering,function
loadCompactModel,code-generation,function
loadLearnerForCoder,code-generation,function
LogisticDistribution,dist-objects,object
LoglogisticDistribution,dist-objects,object
logncdf,dist-continuous,function
lognfit,dist-continuous,function
logninv,dist-continuous,function
lognlike,dist-continuous,function
LognormalDistribution,dist-objects,object
lognpdf,dist-continuous,function
lognrnd,dist-continuous,function
lognstat,dist-continuous,function
LoguniformDistribution,dist-objects,object
lsline,plots,function
mad,descriptive,function
mahal,nearest-neighbors,function
maineffectsplot,plots,function
makecdiscr,classification,function
makedist,dist-objects,function
manova1,anova,function
manovacluster,anova,function
mat2dataset,dataset-legacy,function
mdscale,multivariate,function
mean,dist-objects,function
median,dist-objects,function
mhsample,random,function
mle,dist-objects,function
mlecov,dist-objects,function
mnpdf,dist-discrete,function
mnrfit,regression,function
mnrnd,dist-discrete,function
mnrval,regression,function
moment,descriptive,function
multcompare,anova,function
MultinomialDistribution,dist-objects,object
multivarichart,plots,function
mvksdensity,dist-multivariate,function
mvncdf,dist-multivariate,function
mvnpdf,dist-multivariate,function
mvnrnd,dist-multivariate,function
mvregress,regression,function
mvregresslike,regression,function
mvtcdf,dist-multivariate,function
mvtpdf,dist-multivariate,function
mvtrnd,dist-multivariate,function
NakagamiDistribution,dist-objects,object
nancov,descriptive,function
nanmax,descriptive,function
nanmean,descriptive,function
nanmedian,descriptive,function
nanmin,descriptive,function
