name,section,kind,forms
aboutsignaltbx,unlisted,function,
ac2poly,Signal Modeling,function,"[A,Efinal]=AC2POLY(R);[a,efinal] = ac2poly(r)"
ac2rc,Signal Modeling,function,"[K,R0] = AC2RC(R)"
alignsignals,Correlation and Convolution,function,"[Xa,Ya] = ALIGNSIGNALS(X,Y);[Xa,Ya] = ALIGNSIGNALS(X,Y,Method=METHOD);[Xa,Ya] = ALIGNSIGNALS(X,Y,Method='xcorr',MaxLag=ML);[Xa,Ya] = ALIGNSIGNALS(X,Y,Method='npeak',PeakNum=NP);[Xa,Ya] = ALIGNSIGNALS(X,Y,...,MinPeakProminence=PP,MinPeakHeight=PH);[Xa,Ya] = ALIGNSIGNALS(X,Y,Method='risetime',StateLevels=SL);[Xa,Ya] = ALIGNSIGNALS(X,Y,...,Truncate=TF);[Xa,Ya,D] = ALIGNSIGNALS(...);[Xa,Ya,D] = alignsignals(X,Y,MaxLag=2);[Xa,Ya,D] = alignsignals(X,Y,Truncate=true);[Xa,Ya] = alignsignals(x1,x2,Method='npeak',PeakNum=2);[Xa,Ya] = alignsignals(x1,x2,Method='maxpeak');[Xa,Ya] = alignsignals(e1,e2,Method='risetime')"
arburg,Signal Modeling,function,"A = ARBURG(X,ORDER);[A,E] = ARBURG(...);[A,E,K] = ARBURG(...);[ar_coeffs,NoiseVariance]=arburg(y,4)"
arcov,Signal Modeling,function,"A = ARCOV(X,ORDER);[A,E] = ARCOV(...);[ar,vr] = arcov(x,numel(a)-1)"
armcov,Signal Modeling,function,"A = ARMCOV(X,ORDER);[A,E] = ARMCOV(...);[ar,ec] = armcov(x,numel(a)-1)"
aryule,Signal Modeling,function,"A = ARYULE(X,ORDER);[A,E] = ARYULE(...);[A,E,K] = ARYULE(...);[ar_coeffs,NoiseVariance,reflect_coeffs]=aryule(y,10)"
bandpass,Digital Filtering,function,"Y = BANDPASS(X,Wpass);Y = BANDPASS(X,Fpass,Fs);YT = BANDPASS(XT,Fpass);BANDPASS(...,'Steepness',S);BANDPASS(...,'StopbandAttenuation',A);BANDPASS(...,'ImpulseResponse',R);[Y,D] = BANDPASS(...);BANDPASS(...);bandpass(x,[100,200],Fs);bandpass(x,[0.3, 0.7]);[y1, D1] = bandpass(x,[150,350],Fs,Steepness=0.5);[y2, D2] = bandpass(x,[150,350],Fs,Steepness=0.8);[y3, D3] = bandpass(x,[150,350],Fs,Steepness=0.95)"
bandpower,Measurements and Feature Extraction,function,"P = BANDPOWER(X);P = BANDPOWER(X, Fs, FREQRANGE);P = BANDPOWER(Pxx, F, 'psd');P = BANDPOWER(Pxx, F, FREQRANGE, 'psd');bandpower(x, Fs, Fc + [-50e3 50e3])"
bandstop,Digital Filtering,function,"Y = BANDSTOP(X,Wpass);Y = BANDSTOP(X,Fpass,Fs);YT = BANDSTOP(XT,Fpass);BANDSTOP(...,'Steepness',S);BANDSTOP(...,'StopbandAttenuation',A);BANDSTOP(...,'ImpulseResponse',R);[Y,D] = BANDSTOP(...);BANDSTOP(...);bandstop(x,[100,200],Fs);bandstop(x,[0.3, 0.7]);[y1, D1] = bandstop(x,[150,350],Fs,Steepness=0.5);[y2, D2] = bandstop(x,[150,350],Fs,Steepness=0.8);[y3, D3] = bandstop(x,[150,350],Fs,Steepness=0.95)"
barthannwin,Spectral Analysis,function,BARTHANNWIN(N);w = barthannwin(N)
bartlett,Spectral Analysis,function,W = BARTLETT(N);bartlett(L)
besselap,Analog Filters,function,"[Z,P,K] = BESSELAP(N);[z,p,k]=besselap(6)"
besself,Analog Filters,function,"[B,A] = BESSELF(N,Wo);[Z,P,K] = BESSELF(...);BESSELF(...);[b,a] = besself(5,10000);[b,a] = besself(4,2*pi*300)"
bilinear,Analog Filters,function,"[Zd,Pd,Kd] = BILINEAR(Z,P,K,Fs);[NUMd,DENd] = BILINEAR(NUM,DEN,Fs);[Ad,Bd,Cd,Dd] = BILINEAR(A,B,C,D,Fs);[Zd,Pd,Kd] = BILINEAR(Z,P,K,Fs,Fp);[numd,dend]=bilinear(num,den,Fs)"
binmask2sigroi,Measurements and Feature Extraction,function,ROILIMS = binmask2sigroi(MASK);roiLimits = binmask2sigroi(mask)
bitrevorder,Transforms,function,"Y = BITREVORDER(X);[Y,I] = BITREVORDER(X);BITREVORDER(X);y = bitrevorder(x)"
blackman,Spectral Analysis,function,"BLACKMAN(N);BLACKMAN(N,SFLAG);blackman(L)"
blackmanharris,Spectral Analysis,function,"BLACKMANHARRIS(N);BLACKMANHARRIS(N,SFLAG);w = blackmanharris(N)"
bohmanwin,Spectral Analysis,function,BOHMANWIN(N);w = bohmanwin(N)
boxcar,unlisted,function,
bscost,unlisted,function,"BSCOST(wp,ind,WP,WS,rs,rp,FILTYPE)"
buffer,Signal Generation and Preprocessing,mex,"Y = BUFFER(X,N);Y = BUFFER(X,N,P);Y = BUFFER(X,N,P,OPT);Y = BUFFER(X, ...);[Y,Z] = BUFFER(X, ...);[Y,Z,OPT] = BUFFER(X, ...);y = buffer(x, 8, 4);[y,z] = buffer(x, 8, -4);x = buffer(1:1000, 50);[y,z,opt] = buffer([z;acq], 24, 8, opt)"
buttap,Analog Filters,function,"[Z,P,K] = BUTTAP(N);[z,p,k]=buttap(9)"
butter,Analog Filters,function,"[B,A] = BUTTER(N,Wn);[B,A] = BUTTER(N,Wn,'high');[B,A] = BUTTER(N,Wn,'low');[B,A] = BUTTER(N,Wn,'stop');[Z,P,K] = BUTTER(...);[A,B,C,D] = BUTTER(...);BUTTER(N,Wn,'s');BUTTER(N,Wn,'high','s');BUTTER(N,Wn,'stop','s');[z,p,k] = butter(9,Wn,'high');[b2,a2]=butter(2,[.15,.3])"
buttord,Digital Filter Design,function,"[N, Wn] = BUTTORD(Wp, Ws, Rp, Rs);[N, Wn] = BUTTORD(Wp, Ws, Rp, Rs, 's');[n,Wn] = buttord(Wp,Ws,3,60);[n,Wn] = buttord(Wp,Ws,Rp,Rs)"
cascade,unlisted,function,"Hd = cascade(Hd1, Hd2, ...);cascade(Hd1,Hd2,...)"
cceps,Transforms,function,"CCEPS(X);[XHAT,ND] = CCEPS(X);[XHAT,ND,XHAT1] = CCEPS(X);CCEPS(X,N);c = cceps(s2)"
cconv,Correlation and Convolution,function,"C = CCONV(A, B, N);c = cconv(a,b,4);c = cconv(a,b,11);c = cconv(a,conj(fliplr(b)),7)"
