abcd2s	1	2
abs	1	5
ac2poly	2	2
ac2rc	2	2
accumarray	1	5
acos	1	5
acosd	1	5
acosh	1	5
acot	1	5
acotd	1	5
acoth	1	5
acsc	1	5
acscd	1	5
acsch	1	5
activecontour	1	2
adapthisteq	1	2
adaptthresh	1	2
addCause	ERR:MATLAB:narginout:notValidMfile	0
addedvarplot	ERR:MATLAB:narginout:notValidMfile	0
addlistener	ERR:MATLAB:narginout:doesNotApply	5
addpath	1	2
addpoints	ERR:MATLAB:nargin:isScript	2
addtodate	1	2
addToolbarExplorationButtons	0	6
addvars	1	0
adtest	ERR:MATLAB:narginout:notValidMfile	0
affine2d	1	2
affineOutputView	1	2
airy	1	5
alignsignals	-1	2
alim	1	2
all	1	5
alpha	0	2
alphamap	1	2
amd	1	5
ancestor	ERR:MATLAB:narginout:doesNotApply	5
and	1	5
andrewsplot	ERR:MATLAB:narginout:notValidMfile	0
angle	1	2
animatedline	1	5
annotation	1	2
anova1	ERR:MATLAB:narginout:notValidMfile	0
anova2	ERR:MATLAB:narginout:notValidMfile	0
anovan	ERR:MATLAB:narginout:notValidMfile	0
ansaribradley	ERR:MATLAB:narginout:notValidMfile	0
any	1	5
anymissing	1	5
append	1	2
applylut	1	2
arburg	3	2
arcov	2	2
area	1	2
argnames	1	0
armcov	2	2
array2table	1	2
arrayfun	-1	5
aryule	3	2
asec	1	5
asecd	1	5
asech	1	5
asin	1	5
asind	1	5
asinh	1	5
assert	0	5
assignin	0	5
atan	1	5
atan2	1	5
atan2d	1	5
atand	1	5
atanh	1	5
audioread	2	2
axes	1	5
axis	-1	2
axtoolbar	2	2
axtoolbarbtn	1	2
balance	3	5
bandpass	-1	2
bandpower	1	2
bandstop	-1	2
bandwidth	2	5
bar	1	2
bar3	1	2
bar3h	1	2
barh	1	2
barthannwin	1	2
bartlett	1	2
barttest	ERR:MATLAB:narginout:notValidMfile	0
base2dec	1	2
bbdesign	ERR:MATLAB:narginout:notValidMfile	0
beep	1	5
besselap	3	2
besself	-1	2
besselh	1	5
besseli	1	5
besselj	1	5
besselk	1	5
bessely	1	5
bestblk	2	2
beta	1	2
betacdf	ERR:MATLAB:narginout:notValidMfile	0
BetaDistribution	ERR:MATLAB:narginout:notValidMfile	0
betafit	ERR:MATLAB:narginout:notValidMfile	0
betainc	1	5
betaincinv	1	5
betainv	ERR:MATLAB:narginout:notValidMfile	0
betalike	ERR:MATLAB:narginout:notValidMfile	0
betaln	1	2
betapdf	ERR:MATLAB:narginout:notValidMfile	0
betarnd	ERR:MATLAB:narginout:notValidMfile	0
betastat	ERR:MATLAB:narginout:notValidMfile	0
between	1	0
bfscore	3	2
bicg	5	2
bicgstab	5	2
bicgstabl	5	2
bilinear	4	2
bin2dec	1	5
binocdf	ERR:MATLAB:narginout:notValidMfile	0
binofit	ERR:MATLAB:narginout:notValidMfile	0
binoinv	ERR:MATLAB:narginout:notValidMfile	0
BinomialDistribution	ERR:MATLAB:narginout:notValidMfile	0
binopdf	ERR:MATLAB:narginout:notValidMfile	0
binornd	ERR:MATLAB:narginout:notValidMfile	0
binostat	ERR:MATLAB:narginout:notValidMfile	0
binscatter	1	2
biplot	ERR:MATLAB:narginout:notValidMfile	0
BirnbaumSaundersDistribution	ERR:MATLAB:narginout:notValidMfile	0
bitand	1	5
bitcmp	1	5
bitget	1	5
bitor	1	5
bitrevorder	2	2
bitset	1	5
bitshift	1	5
bitxor	1	5
blackman	1	2
blackmanharris	1	2
blanks	1	2
blkdiag	1	2
blockproc	1	2
bohmanwin	1	2
bootci	ERR:MATLAB:narginout:notValidMfile	0
bootstrp	ERR:MATLAB:narginout:notValidMfile	0
boundary	2	2
boundarymask	1	2
bounds	2	2
box	0	2
boxcar	1	2
boxchart	1	2
boxplot	ERR:MATLAB:narginout:notValidMfile	0
brighten	1	2
bsxfun	1	5
bubblechart	1	2
bubblechart3	1	2
bubblelegend	1	2
bubblelim	1	6
bubblesize	1	6
buffer	ERR:MATLAB:narginout:doesNotApply	3
builtin	1	5
BurrDistribution	ERR:MATLAB:narginout:notValidMfile	0
buttap	3	2
butter	-1	2
buttord	2	2
bvp4c	1	2
bvp5c	1	2
bvpget	1	2
bvpinit	1	2
bvpset	1	2
bvpxtend	1	2
bwarea	1	2
bwareafilt	1	2
bwareaopen	1	2
bwboundaries	4	2
bwconncomp	1	2
bwconvhull	1	2
