label,class,verdict,documented,implemented,missing
figure,matlab.ui.Figure,ok,66,12,Alphamap BeingDeleted BusyAction ButtonDownFcn Clipping CloseRequestFcn Colormap ContextMenu CreateFcn CurrentCharacter CurrentObject CurrentPoint DeleteFcn DockControls FileName GraphicsSmoothing HitTest InnerPosition IntegerHandle Interruptible InvertHardcopy KeyPressFcn KeyReleaseFcn MenuBar NextPlot NumberTitle OuterPosition PaperOrientation PaperPosition PaperPositionMode PaperSize PaperType PaperUnits Pointer PointerShapeCData PointerShapeHotSpot Renderer RendererMode Resize ResizeFcn Selected SelectionHighlight SelectionType SizeChangedFcn ToolBar Units WindowButtonDownFcn WindowButtonMotionFcn WindowButtonUpFcn WindowKeyPressFcn WindowKeyReleaseFcn WindowScrollWheelFcn WindowState WindowStyle
axes,matlab.graphics.axis.Axes,ok,147,42,ALim ALimMode AlphaScale Alphamap AmbientLightColor BeingDeleted BoxStyle BusyAction ButtonDownFcn CLim CLimMode CameraPosition CameraPositionMode CameraTarget CameraTargetMode CameraUpVector CameraUpVectorMode CameraViewAngle CameraViewAngleMode Clipping ClippingStyle ColorOrder ColorOrderIndex ColorScale Colormap ContextMenu CreateFcn CurrentPoint DataAspectRatio DataAspectRatioMode DeleteFcn FontAngle FontName FontSize FontSizeMode FontSmoothing FontUnits FontWeight GridAlpha GridAlphaMode GridColor GridColorMode GridLineStyle HitTest InnerPosition Interactions Interruptible LabelFontSizeMultiplier Layer Layout LineStyleOrder LineStyleOrderIndex LineWidth MinorGridAlpha MinorGridAlphaMode MinorGridColor MinorGridColorMode MinorGridLineStyle NextSeriesIndex OuterPosition PickableParts PlotBoxAspectRatio PlotBoxAspectRatioMode PositionConstraint Projection Selected SelectionHighlight SortMethod SubtitleFontWeight TickDir TickDirMode TickLabelInterpreter TickLength TightInset TitleFontSizeMultiplier TitleFontWeight TitleHorizontalAlignment Toolbar Units XAxisLocation XColor XColorMode XLimMode XLimitMethod XMinorGrid XMinorTick XTickLabelMode XTickMode YAxisLocation YColor YColorMode YLimMode YLimitMethod YMinorGrid YMinorTick YTickLabelMode YTickMode ZColor ZColorMode ZLimMode ZLimitMethod ZMinorGrid ZMinorTick ZTickLabelMode ZTickMode
polaraxes,matlab.graphics.axis.PolarAxes,ok,107,28,ALim ALimMode AlphaScale Alphamap BeingDeleted BusyAction ButtonDownFcn CLim CLimMode Clipping ColorOrder ColorOrderIndex ColorScale Colormap ContextMenu CreateFcn CurrentPoint DeleteFcn FontAngle FontName FontSize FontSizeMode FontSmoothing FontUnits FontWeight GridAlpha GridAlphaMode GridColor GridColorMode GridLineStyle HitTest InnerPosition Interactions Interruptible Layer Layout LineStyleOrder LineStyleOrderIndex LineWidth MinorGridAlpha MinorGridAlphaMode MinorGridColor MinorGridColorMode MinorGridLineStyle NextSeriesIndex OuterPosition PickableParts PositionConstraint RAxisLocationMode RColor RColorMode RGrid RLimMode RMinorGrid RMinorTick RTickLabelMode RTickMode Selected SelectionHighlight SortMethod SubtitleFontWeight ThetaColor ThetaColorMode ThetaGrid ThetaLimMode ThetaMinorGrid ThetaMinorTick ThetaTickLabelMode ThetaTickMode TickDir TickDirMode TickLabelInterpreter TickLength TightInset TitleFontSizeMultiplier TitleFontWeight TitleHorizontalAlignment Toolbar Units
line,matlab.graphics.chart.primitive.Line,ok,52,15,AlignVertexCenters Annotation BeingDeleted BusyAction ButtonDownFcn Clipping ColorMode ContextMenu CreateFcn DataTipTemplate DeleteFcn HitTest Interruptible LatitudeData LatitudeDataSource LineJoin LineStyleMode LongitudeData LongitudeDataSource MarkerEdgeColor MarkerFaceColor MarkerIndices MarkerMode PickableParts RData RDataSource Selected SelectionHighlight SeriesIndex ThetaData ThetaDataMode ThetaDataSource XDataMode XDataSource YDataSource ZData ZDataSource
scatter,matlab.graphics.chart.primitive.Scatter,ok,74,22,AlphaData AlphaDataMapping AlphaDataMode AlphaVariable Annotation BeingDeleted BusyAction ButtonDownFcn CDataMode CDataSource Clipping ColorVariable ContextMenu CreateFcn DataTipTemplate DeleteFcn HitTest Interruptible LatitudeData LatitudeDataSource LatitudeVariable LongitudeData LongitudeDataSource LongitudeVariable PickableParts RData RDataMode RDataSource RVariable Selected SelectionHighlight SeriesIndex SizeDataMode SizeDataSource SizeVariable SourceTable ThetaData ThetaDataMode ThetaDataSource ThetaVariable XDataMode XDataSource XVariable YDataMode YDataSource YVariable ZData ZDataMode ZDataSource ZJitter ZJitterWidth ZVariable
surface,matlab.graphics.chart.primitive.Surface,ok,60,19,AlignVertexCenters AlphaData AlphaDataMapping Annotation BackFaceLighting BeingDeleted BusyAction ButtonDownFcn CData CDataMapping CDataMode CDataSource Clipping ContextMenu CreateFcn DataTipTemplate DeleteFcn EdgeAlpha EdgeLighting FaceAlpha FaceNormals FaceNormalsMode HitTest Interruptible LineStyle LineWidth Marker MarkerEdgeColor MarkerFaceColor MarkerSize MeshStyle PickableParts Selected SelectionHighlight VertexNormals VertexNormalsMode XDataMode XDataSource YDataMode YDataSource ZDataSource
patch,matlab.graphics.primitive.Patch,ok,56,15,AlignVertexCenters AlphaDataMapping AmbientStrength Annotation BackFaceLighting BeingDeleted BusyAction ButtonDownFcn CData CDataMapping Clipping ContextMenu CreateFcn DataTipTemplate DeleteFcn DiffuseStrength EdgeAlpha EdgeLighting FaceAlpha FaceLighting FaceNormals FaceNormalsMode FaceVertexAlphaData FaceVertexCData HitTest Interruptible LineJoin LineStyle LineWidth Marker MarkerEdgeColor MarkerFaceColor MarkerSize PickableParts Selected SelectionHighlight SpecularColorReflectance SpecularExponent SpecularStrength VertexNormals VertexNormalsMode
text,matlab.graphics.primitive.Text,ok,41,16,BeingDeleted BusyAction ButtonDownFcn Clipping ContextMenu CreateFcn DeleteFcn Editing Extent FontAngle FontSmoothing FontUnits FontWeight HitTest Interactions Interpreter Interruptible LineStyle LineWidth Margin PickableParts Rotation Selected SelectionHighlight Units
legend,matlab.graphics.illustration.Legend,ok,39,12,AutoUpdate BeingDeleted Box BusyAction ButtonDownFcn Color ContextMenu CreateFcn DeleteFcn EdgeColor FontAngle FontName FontSize FontWeight HitTest Interpreter Interruptible Layout LineWidth NumColumns NumColumnsMode Orientation PickableParts Selected SelectionHighlight TextColor Units
colorbar,matlab.graphics.illustration.ColorBar,ok,42,8,AxisLocation AxisLocationMode BeingDeleted Box BusyAction ButtonDownFcn Color ContextMenu CreateFcn DeleteFcn Direction FontAngle FontName FontSize FontWeight HitTest Interruptible Layout Limits LimitsMode LineWidth Location PickableParts Position Selected SelectionHighlight TickDirection TickLabelInterpreter TickLabels TickLabelsMode TickLength Ticks TicksMode Units
