name,folder,form_index,syntax,verdict,detail
bounds,datafun,0,"[minA,maxA] = bounds(A)",accepted,
bounds,datafun,1,"[minA,maxA] = bounds(A,'all')",accepted,
bounds,datafun,2,"[minA,maxA] = bounds(A,dim)",accepted,
bounds,datafun,3,"[minA,maxA] = bounds(A,vecdim)",accepted,
bounds,datafun,4,"[minA,maxA] = bounds(___,nanflag)",accepted,
corrcoef,datafun,0,R = corrcoef(A),accepted,
corrcoef,datafun,1,"R = corrcoef(A,B)",error,"corrcoef: the two sets must be the same size, but got 6 and 3."
corrcoef,datafun,2,"[R,P] = corrcoef(___)",accepted,
corrcoef,datafun,3,"[R,P,RL,RU] = corrcoef(___)",accepted,
corrcoef,datafun,4,"___ = corrcoef(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
cov,datafun,0,C = cov(A),accepted,
cov,datafun,1,"C = cov(A,B)",accepted,
cov,datafun,2,"C = cov(___,w)",unprobed,no sample for this form's arguments
cov,datafun,3,"C = cov(___,nanflag)",accepted,
cumtrapz,datafun,0,Q = cumtrapz(Y),accepted,
cumtrapz,datafun,1,"Q = cumtrapz(X,Y)",accepted,
cumtrapz,datafun,2,"Q = cumtrapz(___,dim)",accepted,
fft2,datafun,0,Y = fft2(X),accepted,
fft2,datafun,1,"Y = fft2(X,m,n)",accepted,
fftshift,datafun,0,Y = fftshift(X),accepted,
fftshift,datafun,1,"Y = fftshift(X,dim)",accepted,
fillmissing,datafun,0,"F = fillmissing(A,'constant',v)",accepted,
fillmissing,datafun,1,"F = fillmissing(A,method)",accepted,
fillmissing,datafun,2,"F = fillmissing(A,movmethod,window)",accepted,
fillmissing,datafun,3,"F = fillmissing(A,fillfun,gapwindow)",error,"fillmissing: unexpected argument 2; options come after the data (options: 'EndValues', 'MissingLocations', 'DataVariables')."
fillmissing,datafun,4,"F = fillmissing(___,dim)",accepted,
fillmissing,datafun,5,"F = fillmissing(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
fillmissing,datafun,6,"[F,TF] = fillmissing(___)",accepted,
gradient,datafun,0,FX = gradient(F),accepted,
gradient,datafun,1,"[FX,FY] = gradient(F)",accepted,
gradient,datafun,2,"[FX,FY,FZ,...,FN] = gradient(F)",accepted,
gradient,datafun,3,"[___] = gradient(F,h)",accepted,
gradient,datafun,4,"[___] = gradient(F,hx,hy,...,hN)",unprobed,no sample for this form's arguments
histcounts,datafun,0,"[N,edges] = histcounts(X)",accepted,
histcounts,datafun,1,"[N,edges] = histcounts(X,nbins)",accepted,
histcounts,datafun,2,"[N,edges] = histcounts(X,edges)",accepted,
histcounts,datafun,3,"[N,edges,bin] = histcounts(___)",accepted,
histcounts,datafun,4,N = histcounts(C),accepted,
histcounts,datafun,5,"N = histcounts(C,Categories)",accepted,
histcounts,datafun,6,"[N,Categories] = histcounts(___)",accepted,
histcounts,datafun,7,"[___] = histcounts(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
ifft2,datafun,0,X = ifft2(Y),accepted,
ifft2,datafun,1,"X = ifft2(Y,m,n)",accepted,
ifft2,datafun,2,"X = ifft2(___,symflag)",accepted,
ifftshift,datafun,0,X = ifftshift(Y),accepted,
ifftshift,datafun,1,"X = ifftshift(Y,dim)",accepted,
islocalmax,datafun,0,TF = islocalmax(A),accepted,
islocalmax,datafun,1,"TF = islocalmax(A,dim)",accepted,
islocalmax,datafun,2,"TF = islocalmax(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
islocalmax,datafun,3,"[TF,P] = islocalmax(___)",accepted,
islocalmin,datafun,0,TF = islocalmin(A),accepted,
islocalmin,datafun,1,"TF = islocalmin(A,dim)",accepted,
islocalmin,datafun,2,"TF = islocalmin(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
islocalmin,datafun,3,"[TF,P] = islocalmin(___)",accepted,
ismissing,datafun,0,TF = ismissing(A),accepted,
ismissing,datafun,1,"TF = ismissing(A,indicator)",error,"ismissing expects 1 argument(s), but got 2."
mean,datafun,0,M = mean(A),accepted,
mean,datafun,1,"M = mean(A,'all')",accepted,
mean,datafun,2,"M = mean(A,dim)",accepted,
mean,datafun,3,"M = mean(A,vecdim)",error,"mean expects 1 argument(s), but got 2."
mean,datafun,4,"M = mean(___,outtype)",accepted,
mean,datafun,5,"M = mean(___,nanflag)",accepted,
median,datafun,0,M = median(A),accepted,
median,datafun,1,"M = median(A,'all')",accepted,
median,datafun,2,"M = median(A,dim)",accepted,
median,datafun,3,"M = median(A,vecdim)",error,"median expects 1 argument(s), but got 2."
median,datafun,4,"M = median(___,nanflag)",accepted,
mode,datafun,0,M = mode(A),accepted,
mode,datafun,1,"M = mode(A,'all')",accepted,
mode,datafun,2,"M = mode(A,dim)",accepted,
mode,datafun,3,"M = mode(A,vecdim)",error,"mode expects 1 argument(s), but got 2."
mode,datafun,4,"[M,F] = mode(___)",error,"This call returns 1 value(s), but 2 were asked for."
mode,datafun,5,"[M,F,C] = mode(___)",error,"This call returns 1 value(s), but 3 were asked for."
rescale,datafun,0,B = rescale(A),accepted,
rescale,datafun,1,"B = rescale(A,l,u)",accepted,
rescale,datafun,2,"B = rescale(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
rmmissing,datafun,0,R = rmmissing(A),accepted,
rmmissing,datafun,1,"R = rmmissing(A,dim)",unprobed,no sample for this form's arguments
rmmissing,datafun,2,"R = rmmissing(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
rmmissing,datafun,3,"[R,TF] = rmmissing(___)",accepted,
smoothdata,datafun,0,B = smoothdata(A),accepted,
smoothdata,datafun,1,"B = smoothdata(A,dim)",accepted,
smoothdata,datafun,2,"B = smoothdata(___,method)",accepted,
smoothdata,datafun,3,"B = smoothdata(___,method,window)",accepted,
smoothdata,datafun,4,"B = smoothdata(___,nanflag)",accepted,
smoothdata,datafun,5,"B = smoothdata(___,Name,Value)",unprobed,"Name,Value form; the dump lists no pair names"
smoothdata,datafun,6,"[B,window] = smoothdata(___)",accepted,
std,datafun,0,S = std(A),accepted,
std,datafun,1,"S = std(A,w)",accepted,
std,datafun,2,"S = std(A,w,'all')",accepted,
std,datafun,3,"S = std(A,w,dim)",accepted,
std,datafun,4,"S = std(A,w,vecdim)",error,"std expects between 1 and 2 argument(s), but got 3."
std,datafun,5,"S = std(___,nanflag)",accepted,
trapz,datafun,0,Q = trapz(Y),accepted,
trapz,datafun,1,"Q = trapz(X,Y)",accepted,
trapz,datafun,2,"Q = trapz(___,dim)",accepted,
var,datafun,0,V = var(A),accepted,
var,datafun,1,"V = var(A,w)",accepted,
var,datafun,2,"V = var(A,w,'all')",accepted,
var,datafun,3,"V = var(A,w,dim)",accepted,
var,datafun,4,"V = var(A,w,vecdim)",error,"var expects between 1 and 2 argument(s), but got 3."
var,datafun,5,"V = var(___,nanflag)",accepted,
cell2mat,datatypes,0,A = cell2mat(C),accepted,
deal,datatypes,0,"[B1,...,Bn] = deal(A1,...,An)",unprobed,no sample for this form's arguments
deal,datatypes,1,"[B1,...,Bn] = deal(A)",unprobed,no sample for this form's arguments
getfield,datatypes,0,"value = getfield(S,field)",error,"getfield expects a struct, but got a array."
getfield,datatypes,1,"value = getfield(S,field1,...,fieldN)",unprobed,no sample for this form's arguments
getfield,datatypes,2,"value = getfield(S,idx,field1,...,fieldN)",unprobed,no sample for this form's arguments
getfield,datatypes,3,"value = getfield(S,idx,field1,idx1,...,fieldN,idxN)",unprobed,no sample for this form's arguments
isobject,datatypes,0,tf = isobject(A),unprobed,no sample for this form's arguments
missing,datatypes,0,m = missing,accepted,
num2cell,datatypes,0,C = num2cell(A),accepted,
num2cell,datatypes,1,"C = num2cell(A,dim)",error,"num2cell expects 1 argument(s), but got 2."
orderfields,datatypes,0,S = orderfields(S1),error,"orderfields expects a struct, but got a array."
orderfields,datatypes,1,"S = orderfields(S1,S2)",error,"orderfields expects a field name, but got a array."
orderfields,datatypes,2,"S = orderfields(S1,C)",error,"orderfields expects a struct, but got a array."
orderfields,datatypes,3,"S = orderfields(S1,P)",error,"orderfields expects a field name, but got a array."
orderfields,datatypes,4,"[S,Pout] = orderfields(___)",error,"orderfields expects a struct, but got a array."
rmfield,datatypes,0,"s = rmfield(s,field)",error,"rmfield expects a field name, but got a array."
setfield,datatypes,0,"S = setfield(S,field,value)",error,"setfield expects a struct, but got a array."
setfield,datatypes,1,"S = setfield(S,field1,...,fieldN,value)",unprobed,no sample for this form's arguments
setfield,datatypes,2,"S = setfield(S,idx,field1,...,fieldN,value)",unprobed,no sample for this form's arguments
setfield,datatypes,3,"S = setfield(S,idx,field1,idx1,...,fieldN,idxN,value)",unprobed,no sample for this form's arguments
angle,elfun,0,theta = angle(z),accepted,
cot,elfun,0,Y = cot(X),accepted,
cotd,elfun,0,Y = cotd(X),accepted,
coth,elfun,0,Y = coth(X),accepted,
csc,elfun,0,Y = csc(X),accepted,
cscd,elfun,0,Y = cscd(X),accepted,
csch,elfun,0,Y = csch(X),accepted,
deg2rad,elfun,0,R = deg2rad(D),accepted,
nthroot,elfun,0,"Y = nthroot(X,N)",accepted,
rad2deg,elfun,0,D = rad2deg(R),accepted,
reallog,elfun,0,Y = reallog(X),unprobed,no sample for this form's arguments
realpow,elfun,0,"Z = realpow(X,Y)",unprobed,no sample for this form's arguments
realsqrt,elfun,0,Y = realsqrt(X),accepted,
sec,elfun,0,Y = sec(X),accepted,
secd,elfun,0,Y = secd(X),accepted,
sech,elfun,0,Y = sech(X),accepted,
circshift,elmat,0,"Y = circshift(A,K)",accepted,
circshift,elmat,1,"Y = circshift(A,K,dim)",accepted,
flip,elmat,0,B = flip(A),accepted,
flip,elmat,1,"B = flip(A,dim)",accepted,
fliplr,elmat,0,B = fliplr(A),accepted,
flipud,elmat,0,B = flipud(A),accepted,
freqspace,elmat,0,"[f1,f2] = freqspace(n)",accepted,
freqspace,elmat,1,"[f1,f2] = freqspace([m n])",accepted,
freqspace,elmat,2,"[x,y] = freqspace(___,'meshgrid')",accepted,
freqspace,elmat,3,f = freqspace(N),accepted,
freqspace,elmat,4,"f = freqspace(N,'whole')",refused,freqspace: unknown option 'whole' (the only one is 'meshgrid').
height,elmat,0,H = height(T),accepted,
hilb,elmat,0,H = hilb(n),accepted,
