file,member,category,kind,line,ordinal,rule,statement,note
src/JGraph.Scripting/Jgs/Interpreter.AffineIndex.cs,CopyAffine,write,local,247,0,M7 gated setter; M3 detaches at Holders > 1,"source.AsSpan(start, into.Length).CopyTo(into)","writes into the gather's own destination, handed in by AffineGather (fresh)"
src/JGraph.Scripting/Jgs/Interpreter.AffineIndex.cs,CopyAffine,write,local,255,0,M7 gated setter; M3 detaches at Holders > 1,into[i] = all[at],"writes into the gather's own destination, handed in by AffineGather (fresh)"
src/JGraph.Scripting/Jgs/Interpreter.HotLoop.cs,RunHotLoop,write,SetPackedNumber,732,0,M7 gated setter; M3 detaches at Holders > 1,"vector.SetPackedNumber(position, TAccess.At(regs, op.B))","ADR 0160 compiled store; the walk and the loop share the setter, so they share the gate"
src/JGraph.Scripting/Jgs/Interpreter.HotLoop.cs,RunHotLoop,store,slot,760,0,"M2: an entry holds its own wrapper (Share), or the store is not an entry",vregs[op.Dest] = answer,"a compiled loop's register (ADR 0160): the loop's own storage, written back through the binding roads"
src/JGraph.Scripting/Jgs/Interpreter.HotLoop.cs,RunHotLoop,store,slot,781,1,"M2: an entry holds its own wrapper (Share), or the store is not an entry",vregs[op.Dest] = answer,"a compiled loop's register (ADR 0160): the loop's own storage, written back through the binding roads"
src/JGraph.Scripting/Jgs/Interpreter.HotLoop.cs,RunHotLoop,store,slot,804,2,"M2: an entry holds its own wrapper (Share), or the store is not an entry",vregs[op.Dest] = answer,"a compiled loop's register (ADR 0160): the loop's own storage, written back through the binding roads"
src/JGraph.Scripting/Jgs/Interpreter.Objects.cs,TryAssignToObject,write,gated,214,0,"M7 gated accessor: Writable*() detaches at Holders > 1, then hands back the entry's own storage","holder.WritableFields()[field] = definition.Check( property, CopyForBinding(value), member.Line, member.Column)","a value object's property write: WritableFields() detaches the instance the entry holds (M3), so #16-class leaks through a second name stop here"
src/JGraph.Scripting/Jgs/Interpreter.Scopes.cs,CallHeld,write,local,186,0,M5 scope,"arguments[i] = Hold(arguments[i], ref holds)","the argument array EvaluateAll minted for this call; each slot becomes the whole-call scope's share, released in the finally"
src/JGraph.Scripting/Jgs/Interpreter.Scopes.cs,HoldForWholeCall,write,local,232,0,M5 scope,"arguments[i] = Hold(arguments[i], ref holds)","the argument array EvaluateAll minted for this call; each slot becomes the whole-call scope's share, released by the caller"
src/JGraph.Scripting/Jgs/Interpreter.Structs.cs,IndexStruct,adopt,Elements,59,0,M2 Share or copy,chosen[i] = payload.Elements[picks[i]],#12: the selection holds the target's own element dictionaries; V1.2 shares or copies them
